inca_excavations_interrupted_desc;The communication between our expedition in Peru and our archaeological society is interupted. Until the war goes on, our enemies will try to disturb every information exchange.;;;;;;;;;;;;x;
prussian_constitutionalism;Constitutional Monarchy;;;;;;;;;;;;x;
we_are_italian_for_roman_republic_title;We are Italian!;;;;;;;;;;;;x;
we_are_italian_for_roman_republic_desc;Now that we are free, it is time to reassert our Italian heritage. We must rejoin the motherland!;;;;;;;;;;;;x;
vesuvius_observatory_title;The Vesuvius Observatory;;;;;;;;;;;;x;
vesuvius_observatory_desc;Founded in 1841 on the slopes of Mount Vesuvius, the Vesuvius Observatory (Osservatorio Vesuviano) was the first vulcanology institute in the world. King Ferdinand II supported this scientific institution drastically, which became a symbol of an evolving modern geology.;;;;;;;;;;;;x;
pompeji_fiorelli_title;Pompeii;;;;;;;;;;;;x;
pompeji_fiorelli_desc;Since the rediscovery of Pompeii in the 18th century, treasure-hunters, tomb raiders and adventurers have searched for valuable artefacts in the old roman civitas. A new generation of archaeologists, diligent and experienced in new techniques and with a broader consciousness of scientific approaches, awaits to start new excavations. Giuseppe Fiorelli - one of those archaeologists, and a patriot, too - will develop a new kind of conservation and excavation in the campanian fields, from which our nation and science will benefit.;;;;;;;;;;;;x;
pompeji_excavations;The ancient civitas of Pompeii;;;;;;;;;;;;x;
pompeji_excavations_desc;Archaeologic studies in Pompeii enhance our national science and reputation;;;;;;;;;;;;x;
italian_islands_title;The Italian Islands ;;;;;;;;;;;;x;
italian_islands_desc;Historically, the Ionian Islands, Malta and Corsica were parts to the Italian motherland. Corsica belonged to Genoa, Malta to Sicily, the Ionian Islands to Venice and Italian communities are still existant. After the glorious unification of our country and with the great progressions we made, it is time to redeem the last Italian territories, which are still under foreign rule. Viva Italia, viva l'esercito! Va fuori, stranier'!;;;;;;;;;;;;x;
encourage_italian_aircraft_title;Heroes of the Sky;;;;;;;;;;;;x;
encourage_italian_aircraft_desc;In the years after the Great war, Italy had taken an uncommon interest in aviation, which is even more remarkeable because of its lacking industrial capacity. Nevertheless, the unconquered territories of the sky were a field in which Italy - in relation to other countries with much larger ressources - was a leading nation. High esteem by the people and an excessive propaganda formed some of the best pilots of that time, like Italo Balbo. Italian airplanes and seaplanes were famous for establishing records, which are still unbeaten. Well, let the show begin - maybe our Minister of Aviation will be even parodied by the Marx Brothers!;;;;;;;;;;;;x;
galleria_ve_title;Il salotto di Milano;;;;;;;;;;;;x;
galleria_ve_desc;The Galleria Vittorio Emanuele II is the oldest shopping mall in Italy, named after the first King of the united nation. The structure is formed by two glass-vaulted arcades intersecting in an octagon covering the street connecting Piazza del Duomo to Piazza della Scala. The street is covered by an arching glass and cast iron roof, a popular design for 19th-century arcades, such as the Burlington Arcade in London, which was the prototype for larger glazed shopping arcades, beginning with the Saint-Hubert Gallery in Brussels (opened in 1847), the Passazh in St Petersburg (opened in 1848), or the Budapest Galleria. The Milanese Galleria was larger in scale than its predecessors and was an important step in the evolution of the modern glazed and enclosed shopping mall, of which it was the direct progenitor.;;;;;;;;;;;;x;
repubblica_di_venezia_title;The Republic of Saint Mark;;;;;;;;;;;;x;
repubblica_di_venezia_desc;Since the times of our roman ancestors, Venice has been a republic. This monarchic regime is a shame for our glorious history. The people of Saint Mark are not the salves of a king! Let's reinstitute the Serenisima - Viva Venezia, Viva San Marco!;;;;;;;;;;;;x;
venetian_ambition_title;The Lion Roars!;;;;;;;;;;;;x;
venetian_ambition_desc;The days of suffering are over. Venice has risen to power, again. The old glory of Saint Mark has been restored, and our new role in the world gives us the possibility to regain the feathers in our wings. We won't pe surpressed anymore, this will be beginning on the road of our destiny. The Serenissima should strive for the shape it had before the napoleonic invasion. We will return! Par tera, par mar - San Marco!;;;;;;;;;;;;x;
italian_dalmatia_title;Reintroduce Italian Names in Dalmatia!;;;;;;;;;;;;x;
italian_dalmatia_desc;We should rename the cities at the dalmatian coast and give them Italian names. They sound much better and reflect the glory of our nation.;;;;;;;;;;;;x;
south_slavic_dalmatia_title;Slavic names for a Slavic Coast!;;;;;;;;;;;;x;
south_slavic_dalmatia_desc;We should rename the cities on the dalmatian coast and give them Italian names. They sound much better and reflect the glory of our nation.;;;;;;;;;;;;x;
italian_trentino_title;The Trentino is Italian!;;;;;;;;;;;;x;
italian_trentino_desc;As everyone knows, the natural border of Italy is the Brenner or Brennero. The Trentino always was Italian land, the people Italian, and the cities had Italian names. Considering the part of South Tyrol… well, we will find some fitting names.;;;;;;;;;;;;x;
german_tyrol_title;South Tyrol is german!;;;;;;;;;;;;x;
german_tyrol_desc;As everyone knows, the natural border of Germany is the Adige or Etsch. South Tyrol always was german land, the people german, and the cities had german names. Considering the part of the Trentino… well, we will find some fitting names.;;;;;;;;;;;;x;
codificazione_estense_title;Codificazione estense;;;;;;;;;;;;x;
codificazione_estense_desc;Modena was a duchy with many different parts, considering the long history of seperated Italian states. Different territories, like Guastalla or Massa, which were independent for centuries, but later fell through inheritance to the duchy, had a different civil law and crime code in the same state. The Codificazione estense was a process of reform - with a view to establish a new code - and was initiated by Duke Francesco V of Habsburg-Este.;;;;;;;;;;;;x;
italico_valore;Italico Valore;;;;;;;;;;;;x;
italico_valore_desc;The support from our brothers helps us in our struggle for freedom.;;;;;;;;;;;;x;
roman_republic_joins_title;Join Italy!;;;;;;;;;;;;x;
roman_republic_joins_desc;Italy is the fate of Rome, and Rome is the fate of Italy. Let's join our Italian brothers!;;;;;;;;;;;;x;
mycenaean_excavations;Mycenaean Excavations;;;;;;;;;;;;x;
mycenaean_excavations_title;The Mycenaean Excavations;;;;;;;;;;;;x;
mycenaean_excavations_desc;Mycenaean Greece was the last phase of the Bronze Age in Ancient Greece, spanning the period from approximately 1600–1100 BC. It represents the first advanced civilization in mainland Greece, with its palatial states, urban organization, works of art and writing system. \n\nThe Mycenaean Greeks introduced several innovations in the fields of engineering, architecture and military infrastructure, while trade over vast areas of the Mediterranean was essential for the Mycenaean economy. Their syllabic script, the Linear B, offers the first written records of the Greek language and their religion already included several deities that can also be found in the Olympic Pantheon.\n\nMycenaean Greece was dominated by a warrior elite society and consisted of a network of palace states that developed rigid hierarchical, political, social and economic systems. At the head of this society was the king, known as wanax. Mycenaean Greece perished with the collapse of Bronze Age culture in the eastern Mediterranean.;;;;;;;;;;;;x;
forced_mycenaean_excavations_title;The Mycenaean Excavations;;;;;;;;;;;;x;
forced_mycenaean_excavations_desc;Mycenaean Greece was the last phase of the Bronze Age in Ancient Greece, spanning the period from approximately 1600–1100 BC. It represents the first advanced civilization in mainland Greece, with its palatial states, urban organization, works of art and writing system. \n\nThe Mycenaean Greeks introduced several innovations in the fields of engineering, architecture and military infrastructure, while trade over vast areas of the Mediterranean was essential for the Mycenaean economy. Their syllabic script, the Linear B, offers the first written records of the Greek language and their religion already included several deities that can also be found in the Olympic Pantheon.\n\nMycenaean Greece was dominated by a warrior elite society and consisted of a network of palace states that developed rigid hierarchical, political, social and economic systems. At the head of this society was the king, known as wanax. Mycenaean Greece perished with the collapse of Bronze Age culture in the eastern Mediterranean.;;;;;;;;;;;;x;
minoan_excavations_title;The Minoan Excavations;;;;;;;;;;;;x;
minoan_excavations_desc;The Minoan civilization was an Aegean Bronze Age civilization on the island of Crete and other Aegean islands which flourished from about 2600 to 1100 BC. It preceded the Mycenaean civilization of Ancient Greece. The term "Minoan", which refers to the mythical King Minos, originally described in the pottery of the period. Minos was associated in Greek mythology with the labyrinth and the Minotaur, which Evans identified with the site at Knossos (the largest Minoan site). The secrets of the ancient Minoan civilization await!;;;;;;;;;;;;x;
forced_minoan_excavations_title;The Minoan Excavations;;;;;;;;;;;;x;
forced_minoan_excavations_desc;The Minoan civilization was an Aegean Bronze Age civilization on the island of Crete and other Aegean islands which flourished from about 2600 to 1100 BC. It preceded the Mycenaean civilization of Ancient Greece. The term "Minoan", which refers to the mythical King Minos, originally described in the pottery of the period. Minos was associated in Greek mythology with the labyrinth and the Minotaur, which Evans identified with the site at Knossos (the largest Minoan site). The secrets of the ancient Minoan civilization await!;;;;;;;;;;;;x;
singapore_port;Free Port of Singapore;;;;;;;;;;;;;;;;;;;;;;;x
qingdao_treaty_port_ger_title;The Kiautschou Bay Concession;;;;;;;;;;;;;x
qingdao_treaty_port_ger_desc;November, 1897. The Big Sword Society brutally murdered two German Roman Catholic priests of the Steyler Mission in Juye County in southern Shandong. This event was known as the "Juye Incident." Admiral von Diederichs, commander of the German East Asia Cruiser Squadron, wired on 7 November 1897 to the admiralty: "May incidents be exploited in pursuit of further goals?" Upon receipt of the Diederichs cable, chancellor Chlodwig von Hohenlohe counseled caution, preferring a diplomatic resolution. However, Kaiser Wilhelm II intervened and the admiralty sent a message for Diederichs to "proceed immediately to Kiautschou with entire squadron ..." to which the admiral replied "will proceed ... with greatest energy.";;;;;;;;;;;;;x
tianjin_treaty_port_title;The Tianjin Concession;;;;;;;;;;;;;x
tianjin_treaty_port_desc;,Tianjin - meaning "the Heavenly Ford", is a major port bounded to the east by the Bohai Gulf portion of the Yellow Sea. It is an important grain hub and would be an excellent port to gain a foothold in Northern China;;;;;;;;;;;;;x
kwangchowan_treaty_port_fra_title;The Kwangchow Wan Concession;;;;;;;;;;;;;;;;;;;;;;;;;;;x
kwangchowan_treaty_port_fra_desc;Kwangchowan - meaning "Guangzhou Bay" - is situated in Guangdong Province (Kwangtung Province) on the east side of the Leizhou Peninsula, north of Hainan. Right now the cities are commercially unimportant but is strategically located, we will need it in order to counter the growing British commerical power in Hong Kong.;;;;;;;;;;;;x
begin_pax_britannica_title;Pax Britannica;;;;;;;;;;;;;;;;;;;;;;;x
begin_pax_britannica_desc;Latin for 'British Peace'\n\n The Napoleonic Wars left Great Britain as the most powerful naval country in the world, with no meaningful rivals. The country's economic and strategic strength was buttressed by the fleet, localized military action was a staple of the not-entirely-peaceful 'Pax Britannica'. In addition, the threat of naval force was a significant factor in diplomacy. \n\nDuring the late 19th century, Britain's primary goal in foreign policy was to maintain the balance of power in Europe and to intervene if that balance was upset. Its secondary goal was to protect its overseas interest in the colonies and dominions, as free trade kept the Empire alive. The sea routes to the colonies, especially those linking Britain to India were vital. \n\n§RNOTE: This will cause Britain to reject all alliances with great powers unless it is threatened by another rising great power.§W;;;;;;;;;;;;;;;;;;;;;;;x
